tract,population,total_area_flood_1,TAFSQM,GAHSQM,LNDSQM,TTLSQM,IBuff_Pop,BWDP_Pop,WVW_Pop
36047031300,4648,0,0.148396967640258,0.0423506539819853,173858,173860,0.935456110154905,0,0
36047031500,5175,0,0.131704194383367,0.0372735116479724,179645,179645,0.588405797101449,0,0
36047032700,2924,0,0.12093283455579,0.0194839686719483,176966,176966,0.923734610123119,0,0
36047033300,4085,0,0.1518807893677,0.0529091153174923,186225,186225,0.958629130966952,0.1468788249694,0
36047033600,4759,0.220788712513713,0.148579829424778,0.154872573898296,633269,677281,0.184072284093297,0.31729354906493,0.0754360159697415
36047034700,3228,0,0.105046137546442,0.0587797352728522,139691,139691,0.781598513011153,0,0
36047035200,1246,0.806499340688581,0.0551718095446705,0.0834082632861485,913075,932033,0.621187800963082,0,0
36047035900,5685,0,0.106573412892497,0.0454041540317585,184014,184014,0.84028144239226,0,0
36047036100,2608,0,0.0890291731973507,0.0815823877384452,138449,138449,0.874616564417178,0,0.0256901840490798
36047036300,4108,0,0.12644529577204,0.110812760654776,259203,259576,0.944498539435248,0,0.0345666991236612
36047037700,3660,0,0.308654185056788,0.0427159337797815,190093,190093,0.247267759562842,0,0
36047039000,2282,0,0.139749729468377,0.0665622913452905,173732,173732,0.656003505696757,0.570990359333918,0
36047039200,2756,0,0.125505748048644,0.0645065159833576,174494,174494,0.947024673439768,0.338171262699565,0
36047040300,3538,0,0.188111462179756,0.0759259964216377,210152,210152,0.975409836065574,0,0
36047041300,3822,0,0.171301466641163,0.0600107360354413,162071,162071,0.655154369440084,0,0
36047041700,3609,0,0.133653294011726,0.0934573476346777,141059,141059,0.404267110002771,0.00249376558603491,0
36047041900,3770,0,0.174340664011666,0.0897010835801961,152919,152919,0.664986737400531,0.00450928381962865,0
36047042900,5630,0,0.159528442801969,0.0487029796654348,168039,168039,0.271047957371226,0,0
36047044200,2658,0,0.204987165383205,0.0640417275558402,182709,182709,0.85665914221219,0.324680210684725,0
36047044400,3336,0,0.184221237466822,0.0489861669255949,174437,174437,0.298860911270983,0.232613908872902,0
36047045300,2017,0,0.0139249616672404,0.010385830960353,319570,319570,0.861179970252851,0.134357957362419,0
36047045600,2357,0,0.175893304853509,0.0559719716851503,153559,153559,0.938905388205346,0.950784896054306,0
36047047600,3646,0,0.186644836296371,0.0346629574356077,207051,207051,0.702687877125617,0.534009873834339,0
36047048000,3769,0,0.195950333792244,0.0326389069278126,153988,153988,0.981162111966039,0.541788272751393,0
36047048200,5331,0,0.186644106957557,0.0375813401898492,195629,195629,0.866441568186082,0.965860063777903,0
36047048400,5481,0,0.206134036151782,0.0348029063009715,209063,209065,0.676336434957125,0.255427841634738,0
36047048900,4039,0,0.411948449104412,0.124912625600699,91560,91560,0.735825699430552,0.246348105966823,0
36047049000,5899,0,0.194246172853605,0.0373188951239897,192637,192637,0.623495507713172,0.726055263604001,0
